id	youtubeId	city	country	hour	minute	director	directorUrl	walker	walkerUrl
146	T4qM7YqogHM	Shinbashi,Tokyo	Japan	18	5	WalkingJunkey	*	YOSHITAKA	*
147	Q9i3DcFqlDc	Kamakura,Kanagawa	Japan	18	10	WalkingJunkey	*	YOSHITAKA	*
148	mlEyizPvwoA	Ueno-koen,Tokyo	Japan	18	15	WalkingJunkey	*	AKANE	*
149	R4nlQ2tpj8k	Shinbashi,Tokyo	Japan	18	20	WalkingJunkey	*	YOSHITAKA	*
150	M60aU9ahnL8	Ueno-koen,Tokyo	Japan	18	25	WalkingJunkey	*	NATSUKI	*
151	b7dQeKWkIxM	Kamakura,Kanagawa	Japan	18	30	WalkingJunkey	*	YOSHITAKA	*
152	OZ3U-sDiH9s	Shonandai,Kanagawa	Japan	18	35	WalkingJunkey	*	YOSHITAKA	*
153	t3QA7ojfu5A	Kanda,Tokyo	Japan	18	40	WalkingJunkey	*	YOSHITAKA	*
154	M7ga9LAu_QM	America-yokocho,Tokyo	Japan	18	45	WalkingJunkey	*	NATSUKI	*
155	-Rgde8Wl7D8	Yayoi-dai,Tokyo	Japan	18	50	WalkingJunkey	*	YOSHITAKA	*
156	HA9W4nO9IhY	Ochanomizu,Tokyo	Japan	18	55	WalkingJunkey	*	YOSHITAKA	*
157	GbFyeox0arw	America-yokocho,Tokyo	Japan	19	0	WalkingJunkey	*	AKANE	*
158	QW-LgZJ4BDo	Harajuku,Tokyo	Japan	19	5	WalkingJunkey	*	YOSHITAKA	*
159	qDoR1zZy-iE	Shitirigahama,Kanagawa	Japan	19	10	WalkingJunkey	*	YOSHITAKA	*
160	dWNUFyZkUIs	America-yokocho,Tokyo	Japan	19	15	WalkingJunkey	*	AKANE	*
161	_mRRnjyoQds	Akabane,Tokyo	Japan	19	20	WalkingJunkey	*	YOSHITAKA	*
162	FYWxcgpcFsg	Shimoiida,Kanagawa	Japan	19	25	WalkingJunkey	*	YOSHITAKA	*
163	Pm2pM2kMTQc	Yayoidai,Kanagawa	Japan	19	30	WalkingJunkey	*	YOSHITAKA	*
164	OZ3U-sDiH9s	Shonandai,Kanagawa	Japan	19	35	WalkingJunkey	*	YOSHITAKA	*
165	t3QA7ojfu5A	Kanda,Tokyo	Japan	19	40	WalkingJunkey	*	YOSHITAKA	*
166	TFpEzXonM-s	Akabane,Tokyo	Japan	19	45	WalkingJunkey	*	YOSHITAKA	*
167			Japan	19	50	WalkingJunkey	*	YOSHITAKA	*
168	Sg2zgQNuOxg	Kannai,Kanagawa	Japan	19	55	WalkingJunkey	*	TSUCHIYA	*
169	8lJB4DStNB0	Shibuya,Tokyo	Japan	20	0	WalkingJunkey	*	YOSHITAKA	*
170	u5GquJSVBJs	Akabane,Tokyo	Japan	20	5	WalkingJunkey	*	YOSHITAKA	*
171	yWbFtk5wsJo	Kannai,Kanagawa	Japan	20	10	WalkingJunkey	*	TSUCHIYA	*
172	s3lQvhzaG_U	Akihabara,Tokyo	Japan	20	15	WalkingJunkey	*	YOSHITAKA	*
173	U3OvU1PIK2g	Shimoiida,Kanagawa	Japan	20	20	WalkingJunkey	*	YOSHITAKA	*
174	045S07u6aW0	Minatomirai,Kanagawa	Japan	20	25	WalkingJunkey	*	TSUCHIYA	*
175	TFpEzXonM-s	Akabane,Tokyo	Japan	20	30	WalkingJunkey	*	YOSHITAKA	*
176			Japan	20	35	WalkingJunkey	*	YOSHITAKA	*
177			Japan	20	40	WalkingJunkey	*	YOSHITAKA	*
